Game_Id,Name,Team,Date,Rating,Position
54,B. Leno,Arsenal,2019-05-04,5.7,GK
54,H. Bellerín,Arsenal,2019-05-04,6.6,DR
54,L. Koscielny,Arsenal,2019-05-04,6.7,DCR
54,N. Monreal,Arsenal,2019-05-04,6.7,DCL
54,J. Hector,Arsenal,2019-05-04,6.5,DL
54,A. Ramsey,Arsenal,2019-05-04,6.2,MCR
54,Mesut Özil,Arsenal,2019-05-04,7.0,MCL
54,F. Chiesa,Arsenal,2019-05-04,7.8,AMR
54,H. Mkhitaryan,Arsenal,2019-05-04,7.0,AMC
54,A. Iwobi,Arsenal,2019-05-04,7.3,AML
54,P. Aubameyang,Arsenal,2019-05-04,7.2,STC
54,P. Cech,Arsenal,2019-05-04,,S1
54,S. Kolasinac,Arsenal,2019-05-04,,S2
54,C. Fàbregas,Arsenal,2019-05-04,,S3
54,A. Lacazette,Arsenal,2019-05-04,,S4
54,G. Xhaka,Arsenal,2019-05-04,,S5
54,S. Mustafi,Arsenal,2019-05-04,,S6
54,M. Elneny,Arsenal,2019-05-04,,S7
54,E. Nketiah,Arsenal,2019-05-04,,S8
54,D. Welbeck,Arsenal,2019-05-04,,S9
54,S. Lichtsteiner,Arsenal,2019-05-04,,S10
54,A. Maitland-Niles,Arsenal,2019-05-04,,S11
54,A. Belotti,Arsenal,2019-05-04,,S12
58,B. Leno,Arsenal,2019-08-10,6.5,GK
58,V. Lazaro,Arsenal,2019-08-10,6.5,DR
58,D. Rugani,Arsenal,2019-08-10,8.3,DCR
58,L. Koscielny,Arsenal,2019-08-10,6.8,DCL
58,B. Chilwell,Arsenal,2019-08-10,6.9,DL
58,A. Ramsey,Arsenal,2019-08-10,6.0,MCR
58,Mesut Özil,Arsenal,2019-08-10,7.2,MCL
58,F. Chiesa,Arsenal,2019-08-10,6.4,AMR
58,H. Mkhitaryan,Arsenal,2019-08-10,7.2,AMC
58,Bernard,Arsenal,2019-08-10,7.0,AML
58,P. Aubameyang,Arsenal,2019-08-10,7.3,STC
58,D. Ospina,Arsenal,2019-08-10,,S1
58,J. Hector,Arsenal,2019-08-10,6.5,S2
58,A. Iwobi,Arsenal,2019-08-10,7.1,S3
58,A. Belotti,Arsenal,2019-08-10,,S4
58,R. Nelson,Arsenal,2019-08-10,,S5
58,S. Kolasinac,Arsenal,2019-08-10,,S6
58,G. Xhaka,Arsenal,2019-08-10,,S7
58,E. Nketiah,Arsenal,2019-08-10,,S8
58,C. Fàbregas,Arsenal,2019-08-10,,S9
58,C. Chambers,Arsenal,2019-08-10,6.5,S10
58,L. Torreira,Arsenal,2019-08-10,,S11
58,A. Lacazette,Arsenal,2019-08-10,,S12
165,B. Leno,Arsenal,2021-05-01,6.8,GK
165,Mário Fernandes,Arsenal,2021-05-01,6.6,DR
165,C. Montes,Arsenal,2021-05-01,6.6,DCR
165,D. Rugani,Arsenal,2021-05-01,6.6,DCL
165,J. Hector,Arsenal,2021-05-01,7.3,DL
165,A. Ramsey,Arsenal,2021-05-01,7.5,MCR
165,G. Xhaka,Arsenal,2021-05-01,7.1,MCL
165,F. Chiesa,Arsenal,2021-05-01,7.6,AMR
165,H. Mkhitaryan,Arsenal,2021-05-01,6.8,AMC
165,P. Aubameyang,Arsenal,2021-05-01,6.6,AML
165,A. Belotti,Arsenal,2021-05-01,6.9,STC
165,D. Costa,Arsenal,2021-05-01,,S1
165,L. Koscielny,Arsenal,2021-05-01,6.7,S2
165,Emre Can,Arsenal,2021-05-01,,S3
165,T. John-Jules,Arsenal,2021-05-01,,S4
165,Mesut Özil,Arsenal,2021-05-01,,S5
165,B. Chilwell,Arsenal,2021-05-01,,S6
165,L. Torreira,Arsenal,2021-05-01,,S7
165,A. Lacazette,Arsenal,2021-05-01,,S8
165,R. Nelson,Arsenal,2021-05-01,,S9
165,V. Lazaro,Arsenal,2021-05-01,6.6,S10
165,A. Iwobi,Arsenal,2021-05-01,6.5,S11
165,S. Greenwood,Arsenal,2021-05-01,,S12
212,B. Leno,Arsenal,2022-01-29,7.4,GK
212,V. Lazaro,Arsenal,2022-01-29,6.9,DR
212,A. Angileri,Arsenal,2022-01-29,7.5,DCR
212,L. Hernández,Arsenal,2022-01-29,6.5,DCL
212,L. Digne,Arsenal,2022-01-29,6.4,DL
212,A. Ramsey,Arsenal,2022-01-29,6.6,MCR
212,G. Xhaka,Arsenal,2022-01-29,6.8,MCL
212,F. Chiesa,Arsenal,2022-01-29,7.4,AMR
212,H. Mkhitaryan,Arsenal,2022-01-29,7.1,AMC
212,Bernard,Arsenal,2022-01-29,6.8,AML
212,A. Belotti,Arsenal,2022-01-29,6.8,STC
212,D. Costa,Arsenal,2022-01-29,,S1
212,Mário Fernandes,Arsenal,2022-01-29,,S2
212,R. Nelson,Arsenal,2022-01-29,,S3
212,A. Lacazette,Arsenal,2022-01-29,7.2,S4
212,L. Torreira,Arsenal,2022-01-29,,S5
212,S. Kolasinac,Arsenal,2022-01-29,,S6
212,J. Hector,Arsenal,2022-01-29,,S7
212,S. Cercel,Arsenal,2022-01-29,,S8
212,A. Iwobi,Arsenal,2022-01-29,,S9
212,B. Chilwell,Arsenal,2022-01-29,,S10
212,D. Maresic,Arsenal,2022-01-29,,S11
212,P. Aubameyang,Arsenal,2022-01-29,,S12
276,B. Leno,Arsenal,2024-04-20,6.8,GK
276,F. Passlack,Arsenal,2024-04-20,7.5,DR
276,M. de Ligt,Arsenal,2024-04-20,7.0,DCR
276,M. Varnier,Arsenal,2024-04-20,6.9,DCL
276,L. Digne,Arsenal,2024-04-20,7.3,DL
276,L. Torreira,Arsenal,2024-04-20,7.9,DM
276,F. Chiesa,Arsenal,2024-04-20,7.1,MR
276,M. Guendouzi,Arsenal,2024-04-20,7.1,MCR
276,Emre Can,Arsenal,2024-04-20,6.8,MCL
276,Diogo Jota,Arsenal,2024-04-20,6.8,ML
276,A. Belotti,Arsenal,2024-04-20,6.8,STC
276,S. Beadle,Arsenal,2024-04-20,,S1
276,Çaglar Söyüncü,Arsenal,2024-04-20,,S2
276,A. Iwobi,Arsenal,2024-04-20,7.0,S3
276,M. Dembélé,Arsenal,2024-04-20,7.2,S4
276,J. Brown,Arsenal,2024-04-20,,S5
276,J. Giménez,Arsenal,2024-04-20,,S6
276,G. Xhaka,Arsenal,2024-04-20,,S7
276,M. Rashford,Arsenal,2024-04-20,,S8
276,R. Nelson,Arsenal,2024-04-20,6.6,S9
276,L. Augustinsson,Arsenal,2024-04-20,,S10
276,E. Smith-Rowe,Arsenal,2024-04-20,,S11
276,L. Mansell,Arsenal,2024-04-20,,S12
298,A. Mitryushkin,Arsenal,2024-11-02,6.9,GK
298,F. Passlack,Arsenal,2024-11-02,6.4,DR
298,M. de Ligt,Arsenal,2024-11-02,7.0,DCR
298,M. Varnier,Arsenal,2024-11-02,6.6,DCL
298,L. Digne,Arsenal,2024-11-02,6.9,DL
298,Rodri,Arsenal,2024-11-02,6.9,DM
298,F. Chiesa,Arsenal,2024-11-02,7.1,MR
298,N. Barella,Arsenal,2024-11-02,6.6,MCR
298,R. Sanches,Arsenal,2024-11-02,7.0,MCL
298,M. Vargas,Arsenal,2024-11-02,6.8,ML
298,A. Belotti,Arsenal,2024-11-02,7.5,STC
298,B. Leno,Arsenal,2024-11-02,,S1
298,M. Holgate,Arsenal,2024-11-02,,S2
298,J. Brown,Arsenal,2024-11-02,,S3
298,C. Capone,Arsenal,2024-11-02,,S4
298,Diogo Jota,Arsenal,2024-11-02,6.5,S5
298,L. Augustinsson,Arsenal,2024-11-02,,S6
298,Emre Can,Arsenal,2024-11-02,,S7
298,M. Dembélé,Arsenal,2024-11-02,,S8
298,K. Saadane,Arsenal,2024-11-02,,S9
298,E. Servín,Arsenal,2024-11-02,,S10
298,R. Nelson,Arsenal,2024-11-02,6.6,S11
298,L. Mansell,Arsenal,2024-11-02,,S12
341,J. Pickford,Arsenal,2025-08-16,6.6,GK
341,V. Lazaro,Arsenal,2025-08-16,6.5,DR
341,M. de Ligt,Arsenal,2025-08-16,6.8,DCR
341,G. Magnani,Arsenal,2025-08-16,7.6,DCL
341,L. Digne,Arsenal,2025-08-16,7.1,DL
